N.º,Fecha Tiempo. GMT-03:00,Velocidad del viento. km/hr (LGR S/N: 20682650. SEN S/N: 20679483. LBL: Km/h),Velocidad de Ráfagas. km/hr (LGR S/N: 20682650. SEN S/N: 20679483. LBL: Km/h),Dirección del viento. ø (LGR S/N: 20682650. SEN S/N: 20679483. LBL: N-S)
3047,10/06/22 23:43:59,6.012,8.424,341.2
3048,10/06/22 23:48:59,7.2,8.424,341.2
3049,10/06/22 23:53:59,8.424,9.612,339.7
3050,10/06/22 23:58:59,6.012,9.612,342.6
3051,11/06/22 00:03:59,6.012,7.2,341.2
3052,11/06/22 00:08:59,7.2,8.424,341.2
3053,11/06/22 00:13:59,7.2,9.612,341.2
3054,11/06/22 00:18:59,6.012,8.424,344
3055,11/06/22 00:23:59,7.2,8.424,341.2
3056,11/06/22 00:28:59,7.2,8.424,339.7
3057,11/06/22 00:33:59,8.424,9.612,344
3058,11/06/22 00:38:59,9.612,10.836,355.2
3059,11/06/22 00:43:59,4.824,9.612,355.2
3060,11/06/22 00:48:59,3.6,4.824,355.2
3061,11/06/22 00:53:59,3.6,7.2,355.2
3062,11/06/22 00:58:59,3.6,6.012,355.2
3063,11/06/22 01:03:59,6.012,7.2,355.2
3064,11/06/22 01:08:59,6.012,7.2,355.2
3065,11/06/22 01:13:59,6.012,7.2,355.2
3066,11/06/22 01:18:59,4.824,8.424,355.2
3067,11/06/22 01:23:59,9.612,10.836,352.4
3068,11/06/22 01:28:59,9.612,12.024,352.4
3069,11/06/22 01:33:59,12.024,13.212,349.6
3070,11/06/22 01:38:59,10.836,12.024,355.2
3071,11/06/22 01:43:59,9.612,10.836,355.2
3072,11/06/22 01:48:59,9.612,10.836,355.2
3073,11/06/22 01:53:59,9.612,12.024,355.2
3074,11/06/22 01:58:59,12.024,13.212,355.2
3075,11/06/22 02:03:59,12.024,13.212,14
3076,11/06/22 02:08:59,10.836,13.212,132
3077,11/06/22 02:13:59,8.424,10.836,15.4
3078,11/06/22 02:18:59,4.824,7.2,29.5
3079,11/06/22 02:23:59,3.6,6.012,32.3
3080,11/06/22 02:28:59,4.824,7.2,43.5
3081,11/06/22 02:33:59,7.2,9.612,1.4
3082,11/06/22 02:38:59,3.6,7.2,0
3083,11/06/22 02:43:59,6.012,9.612,0
3084,11/06/22 02:48:59,4.824,13.212,0
3085,11/06/22 02:53:59,6.012,9.612,355.2
3086,11/06/22 02:58:59,8.424,10.836,355.2
3087,11/06/22 03:03:59,6.012,9.612,11.2
3088,11/06/22 03:08:59,10.836,14.436,183.9
3089,11/06/22 03:13:59,8.424,10.836,325.7
3090,11/06/22 03:18:59,9.612,12.024,328.5
3091,11/06/22 03:23:59,7.2,9.612,332.7
3092,11/06/22 03:28:59,7.2,9.612,336.9
3093,11/06/22 03:33:59,6.012,9.612,336.9
3094,11/06/22 03:38:59,6.012,9.612,325.7
3095,11/06/22 03:43:59,6.012,9.612,334.1
3096,11/06/22 03:48:59,4.824,9.612,331.3
3097,11/06/22 03:53:59,4.824,10.836,318.7
3098,11/06/22 03:58:59,7.2,9.612,332.7
3099,11/06/22 04:03:59,6.012,8.424,331.3
3100,11/06/22 04:08:59,4.824,9.612,328.5
3101,11/06/22 04:13:59,8.424,9.612,336.9
3102,11/06/22 04:18:59,7.2,12.024,334.1
3103,11/06/22 04:23:59,9.612,13.212,335.5
3104,11/06/22 04:28:59,10.836,13.212,336.9
3105,11/06/22 04:33:59,12.024,14.436,339.7
3106,11/06/22 04:38:59,10.836,12.024,335.5
3107,11/06/22 04:43:59,10.836,13.212,341.2
3108,11/06/22 04:48:59,8.424,10.836,342.6
3109,11/06/22 04:53:59,8.424,10.836,341.2
3110,11/06/22 04:58:59,7.2,9.612,335.5
3111,11/06/22 05:03:59,7.2,9.612,325.7
3112,11/06/22 05:08:59,9.612,12.024,335.5
3113,11/06/22 05:13:59,12.024,16.848,227.4
3114,11/06/22 05:18:59,13.212,16.848,256.9
3115,11/06/22 05:23:59,12.024,15.624,286.4
3116,11/06/22 05:28:59,8.424,10.836,293.4
3117,11/06/22 05:33:59,2.412,6.012,293.4
3118,11/06/22 05:38:59,2.412,4.824,293.4
3119,11/06/22 05:43:59,3.6,4.824,293.4
3120,11/06/22 05:48:59,2.412,4.824,293.4
3121,11/06/22 05:53:59,3.6,4.824,293.4
3122,11/06/22 05:58:59,4.824,7.2,293.4
3123,11/06/22 06:03:59,2.412,7.2,293.4
3124,11/06/22 06:08:59,6.012,8.424,293.4
3125,11/06/22 06:13:59,3.6,10.836,293.4
3126,11/06/22 06:18:59,6.012,10.836,293.4
3127,11/06/22 06:23:59,3.6,8.424,293.4
3128,11/06/22 06:28:59,9.612,13.212,272.4
3129,11/06/22 06:33:59,12.024,13.212,160
3130,11/06/22 06:38:59,12.024,14.436,241.5
3131,11/06/22 06:43:59,10.836,13.212,196.5
3132,11/06/22 06:48:59,10.836,13.212,341.2
3133,11/06/22 06:53:59,9.612,12.024,345.4
3134,11/06/22 06:58:59,2.412,4.824,346.8
3135,11/06/22 07:03:59,3.6,6.012,346.8
3136,11/06/22 07:08:59,2.412,4.824,346.8
3137,11/06/22 07:13:59,2.412,4.824,346.8
3138,11/06/22 07:18:59,2.412,6.012,346.8
3139,11/06/22 07:23:59,4.824,8.424,345.4
3140,11/06/22 07:28:59,6.012,9.612,339.7
3141,11/06/22 07:33:59,7.2,10.836,338.3
3142,11/06/22 07:38:59,7.2,9.612,336.9
3143,11/06/22 07:43:59,3.6,6.012,346.8
3144,11/06/22 07:48:59,2.412,3.6,346.8
3145,11/06/22 07:53:59,2.412,4.824,346.8
3146,11/06/22 07:58:59,1.188,3.6,346.8
3147,11/06/22 08:03:59,3.6,6.012,339.7
3148,11/06/22 08:08:59,6.012,7.2,342.6
3149,11/06/22 08:13:59,6.012,8.424,332.7
3150,11/06/22 08:18:59,2.412,3.6,310.3
3151,11/06/22 08:23:59,2.412,3.6,344
3152,11/06/22 08:28:59,2.412,3.6,346.8
3153,11/06/22 08:33:59,2.412,3.6,328.5
3154,11/06/22 08:38:59,2.412,4.824,345.4
3155,11/06/22 08:43:59,4.824,8.424,345.4
3156,11/06/22 08:48:59,6.012,7.2,341.2
3157,11/06/22 08:53:59,6.012,7.2,345.4
3158,11/06/22 08:58:59,6.012,7.2,345.4
3159,11/06/22 09:03:59,4.824,7.2,345.4
3160,11/06/22 09:08:59,3.6,4.824,345.4
3161,11/06/22 09:13:59,3.6,4.824,345.4
3162,11/06/22 09:18:59,2.412,3.6,345.4
3163,11/06/22 09:23:59,1.188,3.6,346.8
3164,11/06/22 09:28:59,3.6,4.824,345.4
3165,11/06/22 09:33:59,3.6,4.824,346.8
3166,11/06/22 09:38:59,3.6,6.012,344
3167,11/06/22 09:43:59,4.824,7.2,339.7
3168,11/06/22 09:48:59,3.6,6.012,342.6
3169,11/06/22 09:53:59,2.412,3.6,342.6
3170,11/06/22 09:58:59,2.412,4.824,344
3171,11/06/22 10:03:59,2.412,3.6,344
3172,11/06/22 10:08:59,1.188,4.824,344
3173,11/06/22 10:13:59,4.824,7.2,341.2
3174,11/06/22 10:18:59,3.6,6.012,342.6
3175,11/06/22 10:23:59,2.412,4.824,342.6
3176,11/06/22 10:28:59,1.188,3.6,344
3177,11/06/22 10:33:59,1.188,2.412,344
3178,11/06/22 10:38:59,2.412,6.012,341.2
3179,11/06/22 10:43:59,4.824,7.2,342.6
3180,11/06/22 10:48:59,4.824,8.424,141.8
3181,11/06/22 10:53:59,6.012,10.836,151.6
3182,11/06/22 10:58:59,7.2,10.836,67.4
3183,11/06/22 11:03:59,8.424,12.024,151.6
3184,11/06/22 11:08:59,7.2,10.836,154.4
3185,11/06/22 11:13:59,4.824,9.612,154.4
3186,11/06/22 11:18:59,3.6,6.012,154.4
3187,11/06/22 11:23:59,2.412,4.824,155.8
3188,11/06/22 11:28:59,1.188,2.412,151.6
3189,11/06/22 11:33:59,3.6,6.012,151.6
3190,11/06/22 11:38:59,2.412,6.012,153
3191,11/06/22 11:43:59,2.412,6.012,153
3192,11/06/22 11:48:59,4.824,10.836,154.4
3193,11/06/22 11:53:59,7.2,12.024,193.7
3194,11/06/22 11:58:59,6.012,12.024,207.8
3195,11/06/22 12:03:59,7.2,10.836,207.8
3196,11/06/22 12:08:59,6.012,9.612,207.8
3197,11/06/22 12:13:59,2.412,6.012,207.8
3198,11/06/22 12:18:59,3.6,7.2,207.8
3199,11/06/22 12:23:59,4.824,8.424,207.8
3200,11/06/22 12:28:59,3.6,6.012,206.4
3201,11/06/22 12:33:59,4.824,8.424,209.2
3202,11/06/22 12:38:59,4.824,8.424,209.2
3203,11/06/22 12:43:59,4.824,9.612,210.6
3204,11/06/22 12:48:59,6.012,10.836,210.6
3205,11/06/22 12:53:59,6.012,10.836,212
3206,11/06/22 12:58:59,6.012,15.624,213.4
3207,11/06/22 13:03:59,6.012,10.836,214.8
3208,11/06/22 13:08:59,7.2,13.212,213.4
3209,11/06/22 13:13:59,7.2,12.024,212
3210,11/06/22 13:18:59,8.424,15.624,209.2
3211,11/06/22 13:23:59,9.612,19.224,183.9
3212,11/06/22 13:28:59,9.612,16.848,183.9
3213,11/06/22 13:33:59,12.024,20.448,193.7
3214,11/06/22 13:38:59,10.836,19.224,183.9
3215,11/06/22 13:43:59,10.836,20.448,178.3
3216,11/06/22 13:48:59,10.836,20.448,182.5
3217,11/06/22 13:53:59,8.424,14.436,188.1
3218,11/06/22 13:58:59,10.836,15.624,182.5
3219,11/06/22 14:03:59,8.424,15.624,181.1
3220,11/06/22 14:08:59,8.424,15.624,176.9
3221,11/06/22 14:13:59,7.2,10.836,178.3
3222,11/06/22 14:18:59,6.012,10.836,175.5
3223,11/06/22 14:23:59,6.012,9.612,174.1
3224,11/06/22 14:28:59,4.824,9.612,172.7
3225,11/06/22 14:33:59,7.2,12.024,171.3
3226,11/06/22 14:38:59,4.824,9.612,168.5
3227,11/06/22 14:43:59,4.824,12.024,169.9
3228,11/06/22 14:48:59,7.2,16.848,161.5
3229,11/06/22 14:53:59,7.2,12.024,183.9
3230,11/06/22 14:58:59,6.012,13.212,171.3
3231,11/06/22 15:03:59,8.424,13.212,87
3232,11/06/22 15:08:59,10.836,16.848,110.9
3233,11/06/22 15:13:59,4.824,12.024,106.7
3234,11/06/22 15:18:59,7.2,15.624,105.3
3235,11/06/22 15:23:59,9.612,16.848,143.2
3236,11/06/22 15:28:59,8.424,18.036,136.2
3237,11/06/22 15:33:59,8.424,14.436,105.3
3238,11/06/22 15:38:59,10.836,14.436,103.9
3239,11/06/22 15:43:59,8.424,12.024,98.3
3240,11/06/22 15:48:59,10.836,15.624,129.2
3241,11/06/22 15:53:59,10.836,19.224,133.4
3242,11/06/22 15:58:59,10.836,16.848,88.4
3243,11/06/22 16:03:59,10.836,16.848,105.3
3244,11/06/22 16:08:59,10.836,14.436,130.6
3245,11/06/22 16:13:59,10.836,16.848,136.2
3246,11/06/22 16:18:59,12.024,18.036,129.2
3247,11/06/22 16:23:59,9.612,14.436,98.3
3248,11/06/22 16:28:59,10.836,21.636,141.8
3249,11/06/22 16:33:59,10.836,15.624,140.4
3250,11/06/22 16:38:59,10.836,15.624,133.4
3251,11/06/22 16:43:59,10.836,16.848,130.6
3252,11/06/22 16:48:59,9.612,15.624,127.8
3253,11/06/22 16:53:59,9.612,14.436,124.9
3254,11/06/22 16:58:59,9.612,16.848,140.4
3255,11/06/22 17:03:59,9.612,15.624,141.8
3256,11/06/22 17:08:59,9.612,15.624,122.1
3257,11/06/22 17:13:59,9.612,14.436,122.1
3258,11/06/22 17:18:59,10.836,20.448,146
3259,11/06/22 17:23:59,12.024,20.448,132
3260,11/06/22 17:28:59,12.024,16.848,140.4
3261,11/06/22 17:33:59,13.212,21.636,147.4
3262,11/06/22 17:38:59,13.212,18.036,150.2
3263,11/06/22 17:43:59,14.436,19.224,144.6
3264,11/06/22 17:48:59,13.212,18.036,141.8
3265,11/06/22 17:53:59,10.836,14.436,143.2
3266,11/06/22 17:58:59,9.612,12.024,120.7
3267,11/06/22 18:03:59,8.424,14.436,122.1
3268,11/06/22 18:08:59,6.012,8.424,139
3269,11/06/22 18:13:59,4.824,7.2,112.3
3270,11/06/22 18:18:59,6.012,8.424,106.7
3271,11/06/22 18:23:59,7.2,8.424,106.7
3272,11/06/22 18:28:59,8.424,9.612,133.4
3273,11/06/22 18:33:59,7.2,10.836,153
3274,11/06/22 18:38:59,9.612,12.024,120.7
3275,11/06/22 18:43:59,7.2,10.836,106.7
3276,11/06/22 18:48:59,9.612,13.212,96.9
3277,11/06/22 18:53:59,13.212,18.036,5.6
3278,11/06/22 18:58:59,16.848,20.448,325.7
3279,11/06/22 19:03:59,16.848,20.448,320.1
3280,11/06/22 19:08:59,18.036,20.448,314.5
3281,11/06/22 19:13:59,19.224,21.636,327.1
3282,11/06/22 19:18:59,19.224,22.86,303.2
3283,11/06/22 19:23:59,21.636,27.648,301.8
3284,11/06/22 19:28:59,22.86,26.46,283.6
3285,11/06/22 19:33:59,21.636,25.236,247.1
3286,11/06/22 19:38:59,22.86,27.648,254.1
3287,11/06/22 19:43:59,22.86,26.46,256.9
3288,11/06/22 19:48:59,22.86,26.46,223.2
3289,11/06/22 19:53:59,22.86,26.46,203.6
3290,11/06/22 19:58:59,22.86,26.46,200.8
3291,11/06/22 20:03:59,22.86,27.648,188.1
3292,11/06/22 20:08:59,24.048,27.648,192.3
3293,11/06/22 20:13:59,21.636,26.46,165.7
3294,11/06/22 20:18:59,22.86,27.648,182.5
3295,11/06/22 20:23:59,25.236,30.06,178.3
3296,11/06/22 20:28:59,25.236,30.06,193.7
3297,11/06/22 20:33:59,25.236,30.06,203.6
3298,11/06/22 20:38:59,26.46,32.472,213.4
3299,11/06/22 20:43:59,27.648,32.472,195.1
3300,11/06/22 20:48:59,25.236,31.248,178.3
3301,11/06/22 20:53:59,27.648,33.66,185.3
3302,11/06/22 20:58:59,28.872,36.072,172.7
3303,11/06/22 21:03:59,27.648,32.472,214.8
3304,11/06/22 21:08:59,30.06,37.26,210.6
3305,11/06/22 21:13:59,28.872,34.848,182.5
3306,11/06/22 21:18:59,28.872,36.072,175.5
3307,11/06/22 21:23:59,26.46,32.472,185.3
3308,11/06/22 21:28:59,27.648,32.472,329.9
3309,11/06/22 21:33:59,25.236,30.06,178.3
3310,11/06/22 21:38:59,25.236,28.872,183.9
3311,11/06/22 21:43:59,24.048,28.872,212
3312,11/06/22 21:48:59,25.236,31.248,338.3
3313,11/06/22 21:53:59,25.236,31.248,341.2
3314,11/06/22 21:58:59,25.236,30.06,308.9
3315,11/06/22 22:03:59,24.048,30.06,336.9
3316,11/06/22 22:08:59,24.048,30.06,300.4
3317,11/06/22 22:13:59,22.86,33.66,4.2
3318,11/06/22 22:18:59,22.86,30.06,26.7
3319,11/06/22 22:23:59,8.424,20.448,12.6
3320,11/06/22 22:28:59,7.2,14.436,308.9
3321,11/06/22 22:33:59,10.836,15.624,247.1
3322,11/06/22 22:38:59,8.424,10.836,259.7
3323,11/06/22 22:43:59,7.2,12.024,259.7
3324,11/06/22 22:48:59,4.824,7.2,259.7
3325,11/06/22 22:53:59,7.2,9.612,261.1
3326,11/06/22 22:58:59,9.612,12.024,262.5
3327,11/06/22 23:03:59,10.836,13.212,265.3
3328,11/06/22 23:08:59,9.612,10.836,265.3
3329,11/06/22 23:13:59,7.2,9.612,265.3
3330,11/06/22 23:18:59,8.424,9.612,265.3
3331,11/06/22 23:23:59,7.2,8.424,265.3
3332,11/06/22 23:28:59,7.2,8.424,265.3
3333,11/06/22 23:33:59,4.824,7.2,265.3
3334,11/06/22 23:38:59,6.012,8.424,265.3
3335,11/06/22 23:43:59,8.424,10.836,265.3
3336,11/06/22 23:48:59,6.012,7.2,265.3
3337,11/06/22 23:53:59,8.424,9.612,265.3
3338,11/06/22 23:58:59,7.2,8.424,265.3
3339,12/06/22 00:03:59,8.424,12.024,265.3
3340,12/06/22 00:08:59,13.212,14.436,336.9
3341,12/06/22 00:13:59,10.836,12.024,0
3342,12/06/22 00:18:59,9.612,10.836,0
3343,12/06/22 00:23:59,8.424,9.612,0
3344,12/06/22 00:28:59,6.012,10.836,0
3345,12/06/22 00:33:59,10.836,13.212,8.4
3346,12/06/22 00:38:59,10.836,13.212,43.5
3347,12/06/22 00:43:59,12.024,14.436,28.1
3348,12/06/22 00:48:59,12.024,13.212,28.1
3349,12/06/22 00:53:59,8.424,12.024,22.5
3350,12/06/22 00:58:59,8.424,10.836,300.4
3351,12/06/22 01:03:59,6.012,7.2,327.1
3352,12/06/22 01:08:59,7.2,9.612,345.4
3353,12/06/22 01:13:59,7.2,9.612,338.3
3354,12/06/22 01:18:59,7.2,8.424,161.5
3355,12/06/22 01:23:59,7.2,10.836,331.3
3356,12/06/22 01:28:59,7.2,10.836,315.9
3357,12/06/22 01:33:59,10.836,13.212,259.7
3358,12/06/22 01:38:59,13.212,15.624,155.8
3359,12/06/22 01:43:59,13.212,14.436,157.2
3360,12/06/22 01:48:59,14.436,15.624,164.3
3361,12/06/22 01:53:59,13.212,15.624,181.1
3362,12/06/22 01:58:59,14.436,16.848,285
3363,12/06/22 02:03:59,13.212,16.848,273.8
3364,12/06/22 02:08:59,14.436,18.036,235.9
3365,12/06/22 02:13:59,14.436,16.848,181.1
3366,12/06/22 02:18:59,14.436,16.848,320.1
3367,12/06/22 02:23:59,13.212,15.624,174.1
3368,12/06/22 02:28:59,13.212,16.848,175.5
3369,12/06/22 02:33:59,13.212,16.848,308.9
3370,12/06/22 02:38:59,14.436,16.848,171.3
3371,12/06/22 02:43:59,13.212,18.036,167.1
3372,12/06/22 02:48:59,14.436,16.848,322.9
3373,12/06/22 02:53:59,15.624,18.036,329.9
3374,12/06/22 02:58:59,12.024,15.624,318.7
3375,12/06/22 03:03:59,10.836,14.436,329.9
3376,12/06/22 03:08:59,10.836,14.436,162.9
3377,12/06/22 03:13:59,10.836,13.212,178.3
3378,12/06/22 03:18:59,12.024,15.624,299
3379,12/06/22 03:23:59,12.024,13.212,198
3380,12/06/22 03:28:59,10.836,13.212,287.8
3381,12/06/22 03:33:59,7.2,13.212,242.9
3382,12/06/22 03:38:59,4.824,7.2,280.8
3383,12/06/22 03:43:59,10.836,16.848,279.4
3384,12/06/22 03:48:59,16.848,19.224,228.8
3385,12/06/22 03:53:59,18.036,20.448,203.6
3386,12/06/22 03:58:59,18.036,20.448,174.1
3387,12/06/22 04:03:59,18.036,20.448,171.3
3388,12/06/22 04:08:59,18.036,19.224,172.7
3389,12/06/22 04:13:59,16.848,19.224,161.5
3390,12/06/22 04:18:59,15.624,18.036,161.5
3391,12/06/22 04:23:59,15.624,18.036,161.5
3392,12/06/22 04:28:59,15.624,18.036,160
3393,12/06/22 04:33:59,14.436,16.848,164.3
3394,12/06/22 04:38:59,14.436,15.624,199.4
3395,12/06/22 04:43:59,13.212,15.624,168.5
3396,12/06/22 04:48:59,13.212,15.624,158.6
3397,12/06/22 04:53:59,12.024,14.436,161.5
3398,12/06/22 04:58:59,12.024,14.436,155.8
3399,12/06/22 05:03:59,13.212,15.624,154.4
3400,12/06/22 05:08:59,10.836,13.212,155.8
3401,12/06/22 05:13:59,9.612,13.212,155.8
3402,12/06/22 05:18:59,8.424,13.212,160
3403,12/06/22 05:23:59,4.824,9.612,167.1
3404,12/06/22 05:28:59,3.6,10.836,245.7
3405,12/06/22 05:33:59,4.824,8.424,162.9
3406,12/06/22 05:38:59,3.6,7.2,158.6
3407,12/06/22 05:43:59,2.412,6.012,155.8
3408,12/06/22 05:48:59,1.188,6.012,155.8
3409,12/06/22 05:53:59,3.6,4.824,202.2
3410,12/06/22 05:58:59,3.6,4.824,210.6
3411,12/06/22 06:03:59,7.2,9.612,209.2
3412,12/06/22 06:08:59,9.612,12.024,162.9
3413,12/06/22 06:13:59,8.424,10.836,155.8
3414,12/06/22 06:18:59,8.424,12.024,155.8
3415,12/06/22 06:23:59,9.612,12.024,169.9
3416,12/06/22 06:28:59,8.424,9.612,160
3417,12/06/22 06:33:59,7.2,10.836,157.2
3418,12/06/22 06:38:59,7.2,10.836,178.3
3419,12/06/22 06:43:59,4.824,7.2,168.5
3420,12/06/22 06:48:59,2.412,4.824,154.4
3421,12/06/22 06:53:59,0,1.188,154.4
3422,12/06/22 06:58:59,4.824,7.2,154.4
3423,12/06/22 07:03:59,9.612,12.024,165.7
3424,12/06/22 07:08:59,10.836,13.212,157.2
3425,12/06/22 07:13:59,12.024,13.212,174.1
3426,12/06/22 07:18:59,9.612,12.024,178.3
3427,12/06/22 07:23:59,8.424,12.024,190.9
3428,12/06/22 07:28:59,7.2,10.836,158.6
3429,12/06/22 07:33:59,6.012,8.424,157.2
3430,12/06/22 07:38:59,3.6,7.2,158.6
3431,12/06/22 07:43:59,2.412,6.012,155.8
3432,12/06/22 07:48:59,4.824,8.424,158.6
3433,12/06/22 07:53:59,3.6,6.012,155.8
3434,12/06/22 07:58:59,2.412,4.824,168.5
3435,12/06/22 08:03:59,2.412,4.824,200.8
3436,12/06/22 08:08:59,1.188,3.6,209.2
3437,12/06/22 08:13:59,3.6,4.824,315.9
3438,12/06/22 08:18:59,4.824,7.2,213.4
3439,12/06/22 08:23:59,4.824,7.2,155.8
3440,12/06/22 08:28:59,4.824,7.2,157.2
3441,12/06/22 08:33:59,3.6,6.012,155.8
3442,12/06/22 08:38:59,3.6,4.824,223.2
3443,12/06/22 08:43:59,4.824,6.012,223.2
3444,12/06/22 08:48:59,3.6,7.2,244.3
3445,12/06/22 08:53:59,7.2,10.836,193.7
3446,12/06/22 08:58:59,9.612,12.024,154.4
3447,12/06/22 09:03:59,8.424,9.612,160
3448,12/06/22 09:08:59,7.2,10.836,169.9
3449,12/06/22 09:13:59,6.012,9.612,252.7
3450,12/06/22 09:18:59,4.824,7.2,294.8
3451,12/06/22 09:23:59,6.012,7.2,190.9
3452,12/06/22 09:28:59,1.188,3.6,301.8
3453,12/06/22 09:33:59,1.188,3.6,307.5
3454,12/06/22 09:38:59,0,0,310.3
3455,12/06/22 09:43:59,1.188,2.412,307.5
3456,12/06/22 09:48:59,2.412,3.6,308.9
3457,12/06/22 09:53:59,2.412,3.6,308.9
3458,12/06/22 09:58:59,2.412,3.6,293.4
3459,12/06/22 10:03:59,1.188,2.412,258.3
3460,12/06/22 10:08:59,1.188,2.412,271
3461,12/06/22 10:13:59,1.188,3.6,290.6
3462,12/06/22 10:18:59,1.188,2.412,304.7
3463,12/06/22 10:23:59,2.412,4.824,297.6
3464,12/06/22 10:28:59,3.6,8.424,297.6
3465,12/06/22 10:33:59,6.012,8.424,259.7
3466,12/06/22 10:38:59,7.2,9.612,252.7
3467,12/06/22 10:43:59,6.012,9.612,252.7
3468,12/06/22 10:48:59,4.824,7.2,252.7
3469,12/06/22 10:53:59,4.824,7.2,252.7
3470,12/06/22 10:58:59,4.824,7.2,252.7
3471,12/06/22 11:03:59,4.824,7.2,252.7
3472,12/06/22 11:08:59,3.6,7.2,252.7
3473,12/06/22 11:13:59,3.6,7.2,252.7
3474,12/06/22 11:18:59,3.6,8.424,251.3
3475,12/06/22 11:23:59,4.824,8.424,251.3
3476,12/06/22 11:28:59,4.824,9.612,251.3
3477,12/06/22 11:33:59,6.012,9.612,233.1
3478,12/06/22 11:38:59,7.2,10.836,228.8
3479,12/06/22 11:43:59,7.2,12.024,226
3480,12/06/22 11:48:59,7.2,12.024,203.6
3481,12/06/22 11:53:59,8.424,16.848,203.6
3482,12/06/22 11:58:59,8.424,13.212,205
3483,12/06/22 12:03:59,10.836,15.624,214.8
3484,12/06/22 12:08:59,14.436,19.224,206.4
3485,12/06/22 12:13:59,13.212,19.224,213.4
3486,12/06/22 12:18:59,13.212,21.636,209.2
3487,12/06/22 12:23:59,14.436,19.224,212
3488,12/06/22 12:28:59,13.212,18.036,221.8
3489,12/06/22 12:33:59,13.212,19.224,220.4
3490,12/06/22 12:38:59,13.212,19.224,221.8
3491,12/06/22 12:43:59,13.212,19.224,224.6
3492,12/06/22 12:48:59,13.212,19.224,219
3493,12/06/22 12:53:59,13.212,18.036,213.4
3494,12/06/22 12:58:59,10.836,18.036,219
3495,12/06/22 13:03:59,13.212,19.224,221.8
3496,12/06/22 13:08:59,10.836,18.036,223.2
3497,12/06/22 13:13:59,10.836,16.848,207.8
3498,12/06/22 13:18:59,10.836,16.848,223.2
3499,12/06/22 13:23:59,13.212,19.224,214.8
3500,12/06/22 13:28:59,12.024,20.448,220.4
3501,12/06/22 13:33:59,13.212,20.448,217.6
3502,12/06/22 13:38:59,12.024,20.448,213.4
3503,12/06/22 13:43:59,12.024,21.636,223.2
3504,12/06/22 13:48:59,13.212,20.448,221.8
3505,12/06/22 13:53:59,12.024,18.036,214.8
3506,12/06/22 13:58:59,13.212,18.036,220.4
3507,12/06/22 14:03:59,12.024,20.448,220.4
3508,12/06/22 14:08:59,9.612,15.624,219
3509,12/06/22 14:13:59,14.436,21.636,217.6
3510,12/06/22 14:18:59,10.836,16.848,214.8
3511,12/06/22 14:23:59,13.212,20.448,220.4
3512,12/06/22 14:28:59,13.212,20.448,214.8
3513,12/06/22 14:33:59,10.836,15.624,205
3514,12/06/22 14:38:59,10.836,19.224,198
3515,12/06/22 14:43:59,12.024,19.224,190.9
3516,12/06/22 14:48:59,8.424,16.848,200.8
3517,12/06/22 14:53:59,8.424,13.212,203.6
3518,12/06/22 14:58:59,9.612,15.624,209.2
3519,12/06/22 15:03:59,9.612,15.624,207.8
3520,12/06/22 15:08:59,6.012,10.836,214.8
3521,12/06/22 15:13:59,3.6,8.424,206.4
3522,12/06/22 15:18:59,8.424,12.024,202.2
3523,12/06/22 15:23:59,3.6,10.836,207.8
3524,12/06/22 15:28:59,9.612,14.436,188.1
3525,12/06/22 15:33:59,8.424,14.436,182.5
3526,12/06/22 15:38:59,8.424,15.624,186.7
3527,12/06/22 15:43:59,4.824,12.024,189.5
3528,12/06/22 15:48:59,7.2,18.036,175.5
3529,12/06/22 15:53:59,6.012,12.024,182.5
3530,12/06/22 15:58:59,8.424,13.212,186.7
3531,12/06/22 16:03:59,7.2,10.836,189.5
3532,12/06/22 16:08:59,3.6,10.836,188.1
3533,12/06/22 16:13:59,4.824,8.424,189.5
3534,12/06/22 16:18:59,6.012,10.836,182.5
3535,12/06/22 16:23:59,3.6,8.424,196.5
3536,12/06/22 16:28:59,4.824,9.612,179.7
3537,12/06/22 16:33:59,3.6,6.012,161.5
3538,12/06/22 16:38:59,4.824,8.424,162.9
3539,12/06/22 16:43:59,3.6,7.2,189.5
3540,12/06/22 16:48:59,3.6,7.2,182.5
3541,12/06/22 16:53:59,3.6,7.2,171.3
3542,12/06/22 16:58:59,2.412,8.424,195.1
3543,12/06/22 17:03:59,3.6,8.424,196.5
3544,12/06/22 17:08:59,3.6,8.424,190.9
3545,12/06/22 17:13:59,3.6,7.2,193.7
3546,12/06/22 17:18:59,3.6,8.424,193.7
3547,12/06/22 17:23:59,6.012,8.424,183.9
3548,12/06/22 17:28:59,6.012,8.424,193.7
3549,12/06/22 17:33:59,3.6,8.424,193.7
3550,12/06/22 17:38:59,3.6,6.012,195.1
3551,12/06/22 17:43:59,3.6,6.012,193.7
3552,12/06/22 17:48:59,1.188,6.012,193.7
3553,12/06/22 17:53:59,3.6,7.2,183.9
3554,12/06/22 17:58:59,3.6,7.2,198
3555,12/06/22 18:03:59,2.412,7.2,198
3556,12/06/22 18:08:59,1.188,3.6,176.9
3557,12/06/22 18:13:59,1.188,3.6,161.5
3558,12/06/22 18:18:59,1.188,3.6,164.3
3559,12/06/22 18:23:59,1.188,2.412,171.3
3560,12/06/22 18:28:59,2.412,4.824,172.7
3561,12/06/22 18:33:59,3.6,6.012,172.7
3562,12/06/22 18:38:59,6.012,8.424,160
