T�tulo de trazado: 20682650,,,,
N.�,Fecha,Velocidad del viento. km/hr (LGR S/N: 20682650. SEN S/N: 20679483. LBL: Km/h),Velocidad de R�fagas. km/hr (LGR S/N: 20682650. SEN S/N: 20679483. LBL: Km/h),Direcci�n del viento. � (LGR S/N: 20682650. SEN S/N: 20679483. LBL: N-S)
1944,04/11/19 18:01:13,46.872,60.12,322.9
1945,04/11/19 18:02:13,48.096,57.708,321.5
1946,04/11/19 18:03:13,49.284,55.296,328.5
1947,04/11/19 18:04:13,45.684,54.108,328.5
1948,04/11/19 18:05:13,46.872,54.108,315.9
1949,04/11/19 18:06:13,42.084,50.508,318.7
1950,04/11/19 18:07:13,52.884,61.308,321.5
1951,04/11/19 18:08:13,50.508,60.12,324.3
1952,04/11/19 18:09:13,42.084,46.872,328.5
1953,04/11/19 18:10:13,44.496,54.108,322.9
1954,04/11/19 18:11:13,43.272,50.508,321.5
1955,04/11/19 18:12:13,48.096,54.108,324.3
1956,04/11/19 18:13:13,45.684,50.508,324.3
1957,04/11/19 18:14:13,51.696,58.896,320.1
1958,04/11/19 18:15:13,52.884,58.896,318.7
1959,04/11/19 18:16:13,46.872,54.108,335.5
1960,04/11/19 18:17:13,36.072,48.096,321.5
1961,04/11/19 18:18:13,37.26,50.508,324.3
1962,04/11/19 18:19:13,38.484,49.284,344
1963,04/11/19 18:20:13,40.86,49.284,341.2
1964,04/11/19 18:21:13,40.86,52.884,344
1965,04/11/19 18:22:13,44.496,51.696,355.2
1966,04/11/19 18:23:13,48.096,55.296,353.8
1967,04/11/19 18:24:13,44.496,49.284,1.4
1968,04/11/19 18:25:13,43.272,51.696,355.2
1969,04/11/19 18:26:13,42.084,48.096,351
1970,04/11/19 18:27:13,36.072,43.272,336.9
1971,04/11/19 18:28:13,42.084,55.296,339.7
1972,04/11/19 18:29:13,48.096,55.296,342.6
1973,04/11/19 18:30:13,42.084,51.696,349.6
1974,04/11/19 18:31:13,36.072,40.86,342.6
1975,04/11/19 18:32:13,30.06,37.26,355.2
1976,04/11/19 18:33:13,20.448,25.236,9.8
1977,04/11/19 18:34:13,25.236,38.484,345.4
1978,04/11/19 18:35:13,40.86,52.884,349.6
1979,04/11/19 18:36:13,46.872,58.896,345.4
1980,04/11/19 18:37:13,46.872,55.296,329.9
1981,04/11/19 18:38:13,40.86,44.496,334.1
1982,04/11/19 18:39:13,34.848,40.86,325.7
1983,04/11/19 18:40:13,34.848,40.86,325.7
1984,04/11/19 18:41:13,48.096,58.896,322.9
1985,04/11/19 18:42:13,39.672,50.508,324.3
1986,04/11/19 18:43:13,44.496,55.296,332.7
1987,04/11/19 18:44:13,37.26,46.872,329.9
1988,04/11/19 18:45:13,43.272,50.508,324.3
1989,04/11/19 18:46:13,38.484,45.684,332.7
1990,04/11/19 18:47:13,39.672,45.684,331.3
1991,04/11/19 18:48:13,36.072,43.272,325.7
1992,04/11/19 18:49:13,34.848,39.672,335.5
1993,04/11/19 18:50:13,38.484,51.696,329.9
1994,04/11/19 18:51:13,36.072,43.272,335.5
1995,04/11/19 18:52:13,38.484,45.684,341.2
1996,04/11/19 18:53:13,45.684,49.284,352.4
1997,04/11/19 18:54:13,40.86,45.684,355.2
1998,04/11/19 18:55:13,34.848,38.484,336.9
1999,04/11/19 18:56:13,42.084,48.096,339.7
2000,04/11/19 18:57:13,40.86,46.872,336.9
2001,04/11/19 18:58:13,48.096,54.108,338.3
2002,04/11/19 18:59:13,42.084,50.508,341.2
2003,04/11/19 19:00:13,40.86,50.508,335.5
2004,04/11/19 19:01:13,39.672,50.508,335.5
2005,04/11/19 19:02:13,39.672,49.284,334.1
2006,04/11/19 19:03:13,44.496,52.884,328.5
2007,04/11/19 19:04:13,46.872,61.308,328.5
2008,04/11/19 19:05:13,40.86,50.508,338.3
2009,04/11/19 19:06:13,46.872,52.884,336.9
2010,04/11/19 19:07:13,42.084,48.096,338.3
2011,04/11/19 19:08:13,42.084,58.896,336.9
2012,04/11/19 19:09:13,37.26,44.496,342.6
2013,04/11/19 19:10:13,44.496,55.296,345.4
2014,04/11/19 19:11:13,37.26,44.496,339.7
2015,04/11/19 19:12:13,40.86,46.872,344
2016,04/11/19 19:13:13,48.096,58.896,341.2
2017,04/11/19 19:14:13,48.096,54.108,331.3
2018,04/11/19 19:15:13,43.272,52.884,344
2019,04/11/19 19:16:13,44.496,52.884,341.2
2020,04/11/19 19:17:13,46.872,55.296,345.4
2021,04/11/19 19:18:13,44.496,50.508,336.9
2022,04/11/19 19:19:13,46.872,56.52,341.2
2023,04/11/19 19:20:13,39.672,45.684,351
2024,04/11/19 19:21:13,36.072,40.86,345.4
2025,04/11/19 19:22:13,30.06,37.26,346.8
2026,04/11/19 19:23:13,21.636,30.06,348.2
2027,04/11/19 19:24:13,34.848,46.872,342.6
2028,04/11/19 19:25:13,45.684,50.508,328.5
2029,04/11/19 19:26:13,48.096,51.696,334.1
2030,04/11/19 19:27:13,42.084,55.296,336.9
2031,04/11/19 19:28:13,44.496,50.508,341.2
2032,04/11/19 19:29:13,40.86,46.872,345.4
2033,04/11/19 19:30:13,42.084,54.108,342.6
2034,04/11/19 19:31:13,36.072,44.496,352.4
2035,04/11/19 19:32:13,31.248,37.26,346.8
2036,04/11/19 19:33:13,32.472,37.26,345.4
2037,04/11/19 19:34:13,32.472,39.672,339.7
2038,04/11/19 19:35:13,34.848,43.272,345.4
2039,04/11/19 19:36:13,40.86,49.284,336.9
2040,04/11/19 19:37:13,38.484,50.508,345.4
2041,04/11/19 19:38:13,43.272,54.108,345.4
2042,04/11/19 19:39:13,44.496,51.696,344
2043,04/11/19 19:40:13,39.672,48.096,351
2044,04/11/19 19:41:13,38.484,49.284,349.6
2045,04/11/19 19:42:13,39.672,49.284,352.4
2046,04/11/19 19:43:13,38.484,43.272,352.4
2047,04/11/19 19:44:13,38.484,44.496,346.8
2048,04/11/19 19:45:13,43.272,51.696,342.6
2049,04/11/19 19:46:13,44.496,54.108,342.6
2050,04/11/19 19:47:13,38.484,44.496,338.3
2051,04/11/19 19:48:13,48.096,54.108,334.1
2052,04/11/19 19:49:13,45.684,52.884,336.9
2053,04/11/19 19:50:13,44.496,52.884,344
2054,04/11/19 19:51:13,42.084,52.884,339.7
2055,04/11/19 19:52:13,44.496,55.296,339.7
2056,04/11/19 19:53:13,40.86,49.284,335.5
2057,04/11/19 19:54:13,45.684,54.108,339.7
2058,04/11/19 19:55:13,39.672,46.872,344
2059,04/11/19 19:56:13,43.272,51.696,339.7
2060,04/11/19 19:57:13,45.684,50.508,335.5
2061,04/11/19 19:58:13,43.272,48.096,336.9
2062,04/11/19 19:59:13,45.684,52.884,338.3
2063,04/11/19 20:00:13,45.684,55.296,336.9
2064,04/11/19 20:01:13,48.096,54.108,334.1
2065,04/11/19 20:02:13,45.684,52.884,327.1
2066,04/11/19 20:03:13,56.52,73.332,334.1
2067,04/11/19 20:04:13,40.86,48.096,322.9
2068,04/11/19 20:05:13,38.484,44.496,336.9
2069,04/11/19 20:06:13,46.872,54.108,334.1
2070,04/11/19 20:07:13,48.096,61.308,334.1
2071,04/11/19 20:08:13,49.284,56.52,328.5
2072,04/11/19 20:09:13,40.86,45.684,334.1
2073,04/11/19 20:10:13,43.272,52.884,338.3
2074,04/11/19 20:11:13,52.884,57.708,338.3
2075,04/11/19 20:12:13,51.696,57.708,338.3
2076,04/11/19 20:13:13,48.096,56.52,338.3
2077,04/11/19 20:14:13,49.284,58.896,338.3
2078,04/11/19 20:15:13,50.508,62.532,334.1
2079,04/11/19 20:16:13,37.26,46.872,331.3
2080,04/11/19 20:17:13,39.672,52.884,334.1
2081,04/11/19 20:18:13,48.096,62.532,338.3
2082,04/11/19 20:19:13,58.896,66.132,336.9
2083,04/11/19 20:20:13,55.296,63.72,325.7
2084,04/11/19 20:21:13,50.508,60.12,328.5
2085,04/11/19 20:22:13,45.684,54.108,336.9
2086,04/11/19 20:23:13,49.284,58.896,334.1
2087,04/11/19 20:24:13,51.696,61.308,336.9
2088,04/11/19 20:25:13,51.696,57.708,336.9
2089,04/11/19 20:26:13,52.884,61.308,331.3
2090,04/11/19 20:27:13,46.872,58.896,339.7
2091,04/11/19 20:28:13,48.096,57.708,339.7
2092,04/11/19 20:29:13,46.872,52.884,336.9
2093,04/11/19 20:30:13,43.272,51.696,341.2
2094,04/11/19 20:31:13,46.872,54.108,336.9
2095,04/11/19 20:32:13,46.872,56.52,338.3
2096,04/11/19 20:33:13,46.872,55.296,339.7
2097,04/11/19 20:34:13,50.508,56.52,342.6
2098,04/11/19 20:35:13,46.872,54.108,342.6
2099,04/11/19 20:36:13,43.272,49.284,351
2100,04/11/19 20:37:13,46.872,57.708,334.1
2101,04/11/19 20:38:13,44.496,51.696,334.1
2102,04/11/19 20:39:13,48.096,55.296,336.9
2103,04/11/19 20:40:13,51.696,58.896,336.9
2104,04/11/19 20:41:13,49.284,57.708,335.5
2105,04/11/19 20:42:13,45.684,50.508,336.9
2106,04/11/19 20:43:13,40.86,49.284,335.5
2107,04/11/19 20:44:13,40.86,48.096,338.3
2108,04/11/19 20:45:13,43.272,51.696,342.6
2109,04/11/19 20:46:13,46.872,52.884,336.9
2110,04/11/19 20:47:13,42.084,55.296,335.5
2111,04/11/19 20:48:13,45.684,51.696,339.7
2112,04/11/19 20:49:13,48.096,51.696,335.5
2113,04/11/19 20:50:13,43.272,49.284,339.7
2114,04/11/19 20:51:13,42.084,49.284,338.3
2115,04/11/19 20:52:13,51.696,60.12,336.9
2116,04/11/19 20:53:13,48.096,54.108,332.7
2117,04/11/19 20:54:13,45.684,52.884,335.5
2118,04/11/19 20:55:13,42.084,46.872,336.9
2119,04/11/19 20:56:13,46.872,55.296,336.9
2120,04/11/19 20:57:13,51.696,60.12,332.7
2121,04/11/19 20:58:13,44.496,56.52,334.1
2122,04/11/19 20:59:13,50.508,55.296,335.5
2123,04/11/19 21:00:13,54.108,61.308,338.3
2124,04/11/19 21:01:13,38.484,46.872,331.3
2125,04/11/19 21:02:13,44.496,58.896,342.6
2126,04/11/19 21:03:13,54.108,62.532,334.1
2127,04/11/19 21:04:13,49.284,57.708,341.2
2128,04/11/19 21:05:13,43.272,49.284,344
2129,04/11/19 21:06:13,50.508,54.108,345.4
2130,04/11/19 21:07:13,46.872,52.884,341.2
2131,04/11/19 21:08:13,40.86,45.684,338.3
2132,04/11/19 21:09:13,43.272,54.108,335.5
2133,04/11/19 21:10:13,44.496,50.508,336.9
2134,04/11/19 21:11:13,49.284,60.12,331.3
2135,04/11/19 21:12:13,42.084,49.284,332.7
2136,04/11/19 21:13:13,40.86,46.872,328.5
2137,04/11/19 21:14:13,40.86,51.696,332.7
2138,04/11/19 21:15:13,44.496,50.508,329.9
2139,04/11/19 21:16:13,38.484,44.496,329.9
2140,04/11/19 21:17:13,33.66,40.86,331.3
2141,04/11/19 21:18:13,42.084,52.884,332.7
2142,04/11/19 21:19:13,45.684,56.52,335.5
2143,04/11/19 21:20:13,39.672,48.096,335.5
2144,04/11/19 21:21:13,42.084,46.872,338.3
2145,04/11/19 21:22:13,40.86,46.872,338.3
2146,04/11/19 21:23:13,48.096,52.884,344
2147,04/11/19 21:24:13,43.272,50.508,344
2148,04/11/19 21:25:13,43.272,52.884,342.6
2149,04/11/19 21:26:13,39.672,43.272,338.3
2150,04/11/19 21:27:13,42.084,50.508,339.7
2151,04/11/19 21:28:13,40.86,51.696,341.2
2152,04/11/19 21:29:13,50.508,56.52,342.6
2153,04/11/19 21:30:13,43.272,51.696,345.4
2154,04/11/19 21:31:13,40.86,46.872,346.8
2155,04/11/19 21:32:13,42.084,49.284,342.6
2156,04/11/19 21:33:13,40.86,46.872,342.6
2157,04/11/19 21:34:13,46.872,52.884,338.3
2158,04/11/19 21:35:13,40.86,49.284,335.5
2159,04/11/19 21:36:13,40.86,50.508,336.9
2160,04/11/19 21:37:13,42.084,50.508,335.5
2161,04/11/19 21:38:13,42.084,48.096,332.7
2162,04/11/19 21:39:13,39.672,44.496,332.7
2163,04/11/19 21:40:13,38.484,44.496,332.7
2164,04/11/19 21:41:13,37.26,43.272,339.7
2165,04/11/19 21:42:13,39.672,44.496,344
2166,04/11/19 21:43:13,40.86,46.872,345.4
2167,04/11/19 21:44:13,42.084,45.684,346.8
2168,04/11/19 21:45:13,44.496,49.284,345.4
2169,04/11/19 21:46:13,46.872,52.884,338.3
2170,04/11/19 21:47:13,39.672,49.284,341.2
2171,04/11/19 21:48:13,44.496,51.696,346.8
2172,04/11/19 21:49:13,44.496,50.508,341.2
2173,04/11/19 21:50:13,42.084,50.508,344
2174,04/11/19 21:51:13,42.084,46.872,346.8
2175,04/11/19 21:52:13,43.272,46.872,345.4
2176,04/11/19 21:53:13,37.26,44.496,341.2
2177,04/11/19 21:54:13,37.26,42.084,345.4
2178,04/11/19 21:55:13,39.672,48.096,344
2179,04/11/19 21:56:13,38.484,44.496,342.6
2180,04/11/19 21:57:13,40.86,45.684,344
2181,04/11/19 21:58:13,40.86,45.684,342.6
2182,04/11/19 21:59:13,34.848,42.084,336.9
2183,04/11/19 22:00:13,33.66,44.496,335.5
2184,04/11/19 22:01:13,39.672,44.496,336.9
2185,04/11/19 22:02:13,37.26,43.272,336.9
2186,04/11/19 22:03:13,28.872,34.848,341.2
2187,04/11/19 22:04:13,32.472,37.26,334.1
2188,04/11/19 22:05:13,30.06,42.084,339.7
2189,04/11/19 22:06:13,36.072,43.272,336.9
2190,04/11/19 22:07:13,34.848,37.26,339.7
2191,04/11/19 22:08:13,37.26,42.084,342.6
2192,04/11/19 22:09:13,32.472,38.484,338.3
2193,04/11/19 22:10:13,32.472,37.26,339.7
2194,04/11/19 22:11:13,34.848,40.86,339.7
2195,04/11/19 22:12:13,31.248,33.66,345.4
2196,04/11/19 22:13:13,34.848,43.272,346.8
2197,04/11/19 22:14:13,37.26,45.684,345.4
2198,04/11/19 22:15:13,42.084,46.872,342.6
2199,04/11/19 22:16:13,39.672,45.684,349.6
2200,04/11/19 22:17:13,43.272,49.284,353.8
2201,04/11/19 22:18:13,37.26,44.496,355.2
2202,04/11/19 22:19:13,33.66,39.672,352.4
2203,04/11/19 22:20:13,33.66,40.86,351
2204,04/11/19 22:21:13,37.26,44.496,349.6
2205,04/11/19 22:22:13,38.484,48.096,345.4
2206,04/11/19 22:23:13,38.484,44.496,344
2207,04/11/19 22:24:13,33.66,42.084,345.4
2208,04/11/19 22:25:13,44.496,50.508,342.6
2209,04/11/19 22:26:13,37.26,49.284,342.6
2210,04/11/19 22:27:13,30.06,36.072,331.3
2211,04/11/19 22:28:13,28.872,37.26,334.1
2212,04/11/19 22:29:13,43.272,55.296,339.7
2213,04/11/19 22:30:13,49.284,56.52,349.6
2214,04/11/19 22:31:13,38.484,44.496,345.4
2215,04/11/19 22:32:13,39.672,45.684,318.7
2216,04/11/19 22:33:13,33.66,42.084,304.7
2217,04/11/19 22:34:13,38.484,45.684,345.4
2218,04/11/19 22:35:13,39.672,46.872,11.2
2219,04/11/19 22:36:13,34.848,43.272,336.9
2220,04/11/19 22:37:13,40.86,49.284,335.5
2221,04/11/19 22:38:13,37.26,48.096,334.1
2222,04/11/19 22:39:13,30.06,37.26,336.9
2223,04/11/19 22:40:13,32.472,44.496,325.7
2224,04/11/19 22:41:13,38.484,48.096,334.1
2225,04/11/19 22:42:13,31.248,42.084,335.5
2226,04/11/19 22:43:13,36.072,44.496,335.5
2227,04/11/19 22:44:13,30.06,44.496,324.3
2228,04/11/19 22:45:13,33.66,39.672,344
2229,04/11/19 22:46:13,31.248,39.672,346.8
2230,04/11/19 22:47:13,37.26,49.284,341.2
2231,04/11/19 22:48:13,39.672,50.508,349.6
2232,04/11/19 22:49:13,27.648,34.848,336.9
2233,04/11/19 22:50:13,33.66,48.096,336.9
2234,04/11/19 22:51:13,37.26,44.496,345.4
2235,04/11/19 22:52:13,36.072,42.084,332.7
2236,04/11/19 22:53:13,27.648,34.848,336.9
2237,04/11/19 22:54:13,34.848,40.86,336.9
2238,04/11/19 22:55:13,26.46,40.86,351
2239,04/11/19 22:56:13,34.848,50.508,351
2240,04/11/19 22:57:13,32.472,42.084,355.2
2241,04/11/19 22:58:13,27.648,32.472,348.2
2242,04/11/19 22:59:13,21.636,36.072,301.8
2243,04/11/19 23:00:13,20.448,33.66,289.2
2244,04/11/19 23:01:13,33.66,44.496,322.9
2245,04/11/19 23:02:13,31.248,37.26,315.9
2246,04/11/19 23:03:13,15.624,31.248,262.5
2247,04/11/19 23:04:13,7.2,10.836,282.2
2248,04/11/19 23:05:13,13.212,19.224,332.7
2249,04/11/19 23:06:13,33.66,50.508,346.8
2250,04/11/19 23:07:13,28.872,37.26,344
2251,04/11/19 23:08:13,31.248,36.072,345.4
2252,04/11/19 23:09:13,27.648,32.472,335.5
2253,04/11/19 23:10:13,30.06,38.484,324.3
2254,04/11/19 23:11:13,22.86,28.872,345.4
2255,04/11/19 23:12:13,28.872,34.848,355.2
2256,04/11/19 23:13:13,20.448,31.248,7
2257,04/11/19 23:14:13,21.636,30.06,22.5
2258,04/11/19 23:15:13,20.448,25.236,0
2259,04/11/19 23:16:13,24.048,27.648,322.9
2260,04/11/19 23:17:13,20.448,22.86,334.1
2261,04/11/19 23:18:13,13.212,19.224,318.7
2262,04/11/19 23:19:13,9.612,13.212,320.1
2263,04/11/19 23:20:13,27.648,37.26,346.8
2264,04/11/19 23:21:13,24.048,31.248,355.2
2265,04/11/19 23:22:13,20.448,25.236,345.4
2266,04/11/19 23:23:13,30.06,34.848,320.1
2267,04/11/19 23:24:13,22.86,30.06,346.8
2268,04/11/19 23:25:13,16.848,26.46,352.4
2269,04/11/19 23:26:13,21.636,27.648,332.7
2270,04/11/19 23:27:13,20.448,24.048,346.8
2271,04/11/19 23:28:13,22.86,26.46,342.6
2272,04/11/19 23:29:13,24.048,30.06,346.8
2273,04/11/19 23:30:13,22.86,27.648,351
2274,04/11/19 23:31:13,19.224,22.86,12.6
2275,04/11/19 23:32:13,18.036,21.636,25.3
2276,04/11/19 23:33:13,18.036,27.648,30.9
2277,04/11/19 23:34:13,21.636,28.872,54.8
2278,04/11/19 23:35:13,15.624,19.224,44.9
2279,04/11/19 23:36:13,8.424,13.212,59
2280,04/11/19 23:37:13,15.624,21.636,22.5
2281,04/11/19 23:38:13,8.424,10.836,14
2282,04/11/19 23:39:13,12.024,19.224,21.1
2283,04/11/19 23:40:13,20.448,24.048,19.7
2284,04/11/19 23:41:13,15.624,22.86,5.6
2285,04/11/19 23:42:13,4.824,12.024,168.5
2286,04/11/19 23:43:13,3.6,4.824,167.1
2287,04/11/19 23:44:13,2.412,3.6,165.7
2288,04/11/19 23:45:13,4.824,6.012,112.3
2289,04/11/19 23:46:13,4.824,6.012,57.6
2290,04/11/19 23:47:13,4.824,6.012,92.7
2291,04/11/19 23:48:13,9.612,14.436,32.3
2292,04/11/19 23:49:13,15.624,19.224,4.2
2293,04/11/19 23:50:13,16.848,25.236,335.5
2294,04/11/19 23:51:13,3.6,8.424,320.1
2295,04/11/19 23:52:13,1.188,2.412,325.7
2296,04/11/19 23:53:13,2.412,6.012,348.2
2297,04/11/19 23:54:13,8.424,9.612,37.9
2298,04/11/19 23:55:13,8.424,8.424,33.7
2299,04/11/19 23:56:13,9.612,12.024,22.5
2300,04/11/19 23:57:13,9.612,10.836,19.7
2301,04/11/19 23:58:13,8.424,9.612,28.1
2302,04/11/19 23:59:13,7.2,8.424,39.3
2303,05/11/19 00:00:13,9.612,14.436,29.5
2304,05/11/19 00:01:13,13.212,15.624,11.2
2305,05/11/19 00:02:13,12.024,14.436,14
2306,05/11/19 00:03:13,6.012,9.612,348.2
2307,05/11/19 00:04:13,1.188,2.412,19.7
2308,05/11/19 00:05:13,4.824,6.012,91.3
2309,05/11/19 00:06:13,3.6,4.824,73
2310,05/11/19 00:07:13,3.6,6.012,61.8
2311,05/11/19 00:08:13,3.6,4.824,54.8
2312,05/11/19 00:09:13,2.412,3.6,44.9
2313,05/11/19 00:10:13,3.6,6.012,94.1
2314,05/11/19 00:11:13,3.6,7.2,127.8
2315,05/11/19 00:12:13,4.824,14.436,182.5
2316,05/11/19 00:13:13,7.2,13.212,160
2317,05/11/19 00:14:13,4.824,6.012,183.9
2318,05/11/19 00:15:13,3.6,6.012,202.2
2319,05/11/19 00:16:13,1.188,3.6,202.2
2320,05/11/19 00:17:13,3.6,6.012,68.8
2321,05/11/19 00:18:13,1.188,3.6,46.3
2322,05/11/19 00:19:13,1.188,3.6,352.4
2323,05/11/19 00:20:13,8.424,13.212,334.1
2324,05/11/19 00:21:13,6.012,8.424,310.3
2325,05/11/19 00:22:13,12.024,19.224,339.7
2326,05/11/19 00:23:13,16.848,19.224,8.4
2327,05/11/19 00:24:13,19.224,24.048,352.4
2328,05/11/19 00:25:13,20.448,26.46,4.2
2329,05/11/19 00:26:13,21.636,28.872,4.2
2330,05/11/19 00:27:13,28.872,33.66,7
2331,05/11/19 00:28:13,24.048,31.248,8.4
2332,05/11/19 00:29:13,25.236,28.872,355.2
2333,05/11/19 00:30:13,22.86,27.648,2.8
2334,05/11/19 00:31:13,19.224,24.048,18.3
2335,05/11/19 00:32:13,15.624,24.048,18.3
2336,05/11/19 00:33:13,10.836,14.436,2.8
2337,05/11/19 00:34:13,21.636,28.872,21.1
2338,05/11/19 00:35:13,21.636,25.236,8.4
2339,05/11/19 00:36:13,16.848,21.636,11.2
2340,05/11/19 00:37:13,14.436,21.636,0
2341,05/11/19 00:38:13,19.224,27.648,335.5
2342,05/11/19 00:39:13,19.224,22.86,339.7
2343,05/11/19 00:40:13,14.436,16.848,11.2
2344,05/11/19 00:41:13,14.436,19.224,0
2345,05/11/19 00:42:13,14.436,16.848,23.9
2346,05/11/19 00:43:13,15.624,21.636,314.5
2347,05/11/19 00:44:13,15.624,19.224,329.9
2348,05/11/19 00:45:13,15.624,20.448,351
2349,05/11/19 00:46:13,15.624,18.036,355.2
2350,05/11/19 00:47:13,22.86,27.648,341.2
2351,05/11/19 00:48:13,19.224,22.86,318.7
2352,05/11/19 00:49:13,16.848,21.636,325.7
2353,05/11/19 00:50:13,21.636,28.872,344
2354,05/11/19 00:51:13,22.86,26.46,352.4
2355,05/11/19 00:52:13,16.848,20.448,1.4
2356,05/11/19 00:53:13,18.036,21.636,355.2
2357,05/11/19 00:54:13,16.848,22.86,352.4
2358,05/11/19 00:55:13,15.624,25.236,5.6
2359,05/11/19 00:56:13,16.848,20.448,2.8
2360,05/11/19 00:57:13,13.212,14.436,25.3
2361,05/11/19 00:58:13,13.212,16.848,5.6
2362,05/11/19 00:59:13,13.212,20.448,9.8
2363,05/11/19 01:00:13,19.224,24.048,12.6
2364,05/11/19 01:01:13,15.624,20.448,18.3
2365,05/11/19 01:02:13,15.624,20.448,351
2366,05/11/19 01:03:13,12.024,14.436,345.4
2367,05/11/19 01:04:13,12.024,15.624,344
2368,05/11/19 01:05:13,13.212,16.848,346.8
2369,05/11/19 01:06:13,21.636,31.248,335.5
2370,05/11/19 01:07:13,21.636,27.648,341.2
2371,05/11/19 01:08:13,25.236,30.06,339.7
2372,05/11/19 01:09:13,24.048,27.648,341.2
2373,05/11/19 01:10:13,22.86,26.46,344
2374,05/11/19 01:11:13,20.448,24.048,342.6
2375,05/11/19 01:12:13,18.036,22.86,331.3
2376,05/11/19 01:13:13,19.224,24.048,345.4
2377,05/11/19 01:14:13,21.636,26.46,341.2
2378,05/11/19 01:15:13,19.224,22.86,341.2
2379,05/11/19 01:16:13,18.036,22.86,349.6
2380,05/11/19 01:17:13,26.46,32.472,341.2
2381,05/11/19 01:18:13,25.236,28.872,352.4
2382,05/11/19 01:19:13,22.86,27.648,342.6
2383,05/11/19 01:20:13,22.86,27.648,353.8
2384,05/11/19 01:21:13,19.224,21.636,349.6
2385,05/11/19 01:22:13,22.86,32.472,334.1
2386,05/11/19 01:23:13,28.872,32.472,338.3
2387,05/11/19 01:24:13,25.236,28.872,345.4
2388,05/11/19 01:25:13,22.86,26.46,352.4
2389,05/11/19 01:26:13,24.048,28.872,352.4
2390,05/11/19 01:27:13,18.036,24.048,353.8
2391,05/11/19 01:28:13,14.436,16.848,15.4
2392,05/11/19 01:29:13,15.624,20.448,19.7
2393,05/11/19 01:30:13,15.624,22.86,35.1
2394,05/11/19 01:31:13,14.436,18.036,44.9
2395,05/11/19 01:32:13,18.036,24.048,43.5
2396,05/11/19 01:33:13,14.436,20.448,8.4
2397,05/11/19 01:34:13,8.424,12.024,15.4
2398,05/11/19 01:35:13,14.436,16.848,35.1
2399,05/11/19 01:36:13,7.2,13.212,49.1
2400,05/11/19 01:37:13,4.824,8.424,300.4
2401,05/11/19 01:38:13,3.6,6.012,195.1
2402,05/11/19 01:39:13,2.412,4.824,154.4
2403,05/11/19 01:40:13,6.012,10.836,297.6
2404,05/11/19 01:41:13,9.612,13.212,254.1
2405,05/11/19 01:42:13,8.424,21.636,307.5
2406,05/11/19 01:43:13,25.236,31.248,344
2407,05/11/19 01:44:13,28.872,32.472,338.3
2408,05/11/19 01:45:13,20.448,26.46,355.2
2409,05/11/19 01:46:13,20.448,36.072,342.6
2410,05/11/19 01:47:13,36.072,43.272,355.2
2411,05/11/19 01:48:13,25.236,34.848,8.4
2412,05/11/19 01:49:13,24.048,38.484,344
2413,05/11/19 01:50:13,34.848,48.096,344
2414,05/11/19 01:51:13,32.472,40.86,349.6
2415,05/11/19 01:52:13,20.448,27.648,352.4
2416,05/11/19 01:53:13,25.236,28.872,355.2
2417,05/11/19 01:54:13,22.86,26.46,11.2
2418,05/11/19 01:55:13,15.624,21.636,7
2419,05/11/19 01:56:13,26.46,40.86,352.4
2420,05/11/19 01:57:13,34.848,40.86,342.6
2421,05/11/19 01:58:13,36.072,43.272,348.2
2422,05/11/19 01:59:13,34.848,42.084,348.2
2423,05/11/19 02:00:13,34.848,40.86,353.8
2424,05/11/19 02:01:13,36.072,39.672,355.2
2425,05/11/19 02:02:13,28.872,33.66,9.8
2426,05/11/19 02:03:13,16.848,25.236,4.2
2427,05/11/19 02:04:13,19.224,33.66,15.4
2428,05/11/19 02:05:13,33.66,40.86,351
2429,05/11/19 02:06:13,37.26,42.084,346.8
2430,05/11/19 02:07:13,34.848,42.084,345.4
2431,05/11/19 02:08:13,31.248,36.072,345.4
2432,05/11/19 02:09:13,22.86,26.46,0
2433,05/11/19 02:10:13,16.848,22.86,12.6
2434,05/11/19 02:11:13,21.636,26.46,9.8
2435,05/11/19 02:12:13,33.66,45.684,1.4
2436,05/11/19 02:13:13,32.472,40.86,352.4
2437,05/11/19 02:14:13,28.872,33.66,342.6
2438,05/11/19 02:15:13,24.048,28.872,346.8
2439,05/11/19 02:16:13,16.848,24.048,8.4
2440,05/11/19 02:17:13,20.448,54.108,37.9
2441,05/11/19 02:18:13,22.86,28.872,7
2442,05/11/19 02:19:13,32.472,39.672,342.6
2443,05/11/19 02:20:13,33.66,38.484,341.2
2444,05/11/19 02:21:13,27.648,36.072,328.5
2445,05/11/19 02:22:13,9.612,18.036,331.3
2446,05/11/19 02:23:13,18.036,30.06,341.2
2447,05/11/19 02:24:13,34.848,43.272,348.2
2448,05/11/19 02:25:13,34.848,43.272,338.3
2449,05/11/19 02:26:13,32.472,37.26,344
2450,05/11/19 02:27:13,26.46,34.848,334.1
2451,05/11/19 02:28:13,22.86,26.46,351
2452,05/11/19 02:29:13,27.648,32.472,342.6
2453,05/11/19 02:30:13,34.848,40.86,334.1
2454,05/11/19 02:31:13,33.66,38.484,349.6
2455,05/11/19 02:32:13,28.872,31.248,346.8
2456,05/11/19 02:33:13,28.872,32.472,346.8
2457,05/11/19 02:34:13,28.872,32.472,342.6
2458,05/11/19 02:35:13,27.648,32.472,341.2
